timestamp_utc,alert_id,alert_rule,severity,resource,monitor_condition,fired_to_ack_seconds,time_to_resolve_minutes,classification,incident_id,notes
2026-04-14T04:55:49Z,ALRT-90159,alert-vm-high-cpu,Sev2,az-ir-platform-p-westeurope-vm-app-01,Fired,264,31,actionable,INC-2026-04-14-006,"nightly ETL overlap with backup window"
2026-04-19T10:09:33Z,ALRT-90181,alert-service-availability-endpoint,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,49,14,actionable,INC-2026-04-19-007,"upstream DNS timeout cascade"
2026-04-24T16:43:12Z,ALRT-90203,alert-auth-failed-login-burst,Sev2,az-ir-platform-p-westeurope-vm-mgmt-01,Fired,219,0,false_positive,,"approved penetration test not tagged"
2026-04-24T16:44:03Z,ALRT-90204,alert-auth-failed-login-burst,Sev2,az-ir-platform-p-westeurope-vm-mgmt-01,Fired,0,0,duplicate,,"duplicate from query timeout retry logic"
2026-04-24T16:44:57Z,ALRT-90205,alert-auth-failed-login-burst,Sev2,az-ir-platform-p-westeurope-vm-mgmt-01,Fired,0,0,duplicate,,"event hub delivery retried, same payload id"
2026-04-29T14:08:20Z,ALRT-90221,alert-vm-high-cpu-anomaly,Sev2,az-ir-platform-p-westeurope-vm-app-01,Fired,182,21,actionable,INC-2026-04-29-008,"cpu deviation >2x baseline"
2026-04-30T00:18:26Z,ALRT-90230,alert-service-availability-endpoint,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,65,34,actionable,INC-2026-04-30-001,"NSG deny priority regression"
2026-05-05T07:10:41Z,ALRT-90266,alert-network-path-failure,Sev2,az-ir-platform-p-westeurope-vm-app-01,Fired,187,11,actionable,INC-2026-05-05-003,"partial packet loss from trusted ingress range"
2026-05-08T01:42:19Z,ALRT-90274,alert-vm-high-cpu-anomaly,Sev2,az-ir-platform-p-westeurope-vm-app-01,Fired,275,29,actionable,INC-2026-05-08-004,"retry amplification after upstream 502 burst"
2026-05-12T13:03:58Z,ALRT-90289,alert-service-availability-endpoint,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,92,7,false_positive,,"external monitor region outage; customer path unaffected"
2026-05-18T13:09:22Z,ALRT-90311,alert-vm-high-cpu-anomaly,Sev2,az-ir-platform-p-westeurope-vm-app-01,Fired,104,53,actionable,INC-2026-05-18-002,"first symptom in multi-factor incident"
2026-05-18T13:13:08.4412982Z,ALRT-90312,alert-service-availability-endpoint,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,78,49,actionable,INC-2026-05-18-002,"endpoint failures clustered in eu-2 and eu-3"
2026-05-18T13:19:41Z,ALRT-90313,alert-network-path-failure,Sev2,az-ir-platform-p-westeurope-vm-app-01,Fired,0,44,actionable,INC-2026-05-18-002,"denied tcp/443 for trusted source cidr"
2026/05/18 13:20:03,ALRT-90314,alert-network-path-failure,Sev2,az-ir-platform-p-westeurope-vm-app-01,Fired,0,43,duplicate,INC-2026-05-18-002,"same deny window; second rule-eval channel"
2026-05-26T22:14:36Z,ALRT-90340,alert-auth-failed-login-burst,Sev2,az-ir-platform-p-westeurope-vm-mgmt-01,Fired,201,0,false_positive,,"red-team simulation not marked in allowlist"
